0.00E+00,0.00E+00,0.00E+00,5.00E+00,7.10E-01,2.37E-01,7.05E+01,2.208867472
0.00E+00,0.00E+00,0.00E+00,1.50E+01,2.13E+00,2.36E-01,6.92E+01,3.117854816
0.00E+00,0.00E+00,0.00E+00,2.50E+01,3.53E+00,2.36E-01,6.67E+01,3.90239057
0.00E+00,0.00E+00,0.00E+00,3.50E+01,4.92E+00,2.34E-01,6.30E+01,4.626609497
0.00E+00,0.00E+00,0.00E+00,4.50E+01,6.28E+00,2.33E-01,5.84E+01,5.322065445
0.00E+00,0.00E+00,0.00E+00,5.50E+01,7.63E+00,2.31E-01,5.32E+01,6.002807704
0.00E+00,0.00E+00,0.00E+00,6.50E+01,8.95E+00,2.30E-01,4.76E+01,6.673941284
0.00E+00,0.00E+00,0.00E+00,7.50E+01,1.02E+01,2.28E-01,4.18E+01,7.335826357
0.00E+00,0.00E+00,0.00E+00,8.50E+01,1.15E+01,2.26E-01,3.62E+01,7.986522317
0.00E+00,0.00E+00,0.00E+00,9.50E+01,1.28E+01,2.24E-01,3.09E+01,8.623500401
0.00E+00,0.00E+00,0.00E+00,1.05E+02,1.40E+01,2.22E-01,2.60E+01,9.245427278
0.00E+00,0.00E+00,0.00E+00,1.15E+02,1.52E+01,2.21E-01,2.16E+01,9.852432268
0.00E+00,0.00E+00,0.00E+00,1.25E+02,1.64E+01,2.19E-01,1.78E+01,10.44699505
0.00E+00,0.00E+00,0.00E+00,1.35E+02,1.76E+01,2.18E-01,1.45E+01,11.03540742
0.00E+00,0.00E+00,0.00E+00,1.45E+02,1.88E+01,2.16E-01,1.18E+01,11.62761272
0.00E+00,0.00E+00,0.00E+00,1.55E+02,2.00E+01,2.15E-01,9.54E+00,12.23939752
0.00E+00,0.00E+00,0.00E+00,1.65E+02,2.11E+01,2.14E-01,7.69E+00,13.03866766
0.00E+00,0.00E+00,0.00E+00,1.75E+02,2.23E+01,2.12E-01,6.20E+00,14.010763
